,source_text,polyphone,location,narrow_context,context,index,reading,gloss
737001,中論,惡,27,使民速見善惡之報也踰時,慶賞夫何故哉將以有救也故司馬法曰賞罰不踰時欲使民速見善惡之報也踰時且猶不可而况廢之者乎賞罰不可以踈亦不可以數數則所及者多,0,ʔˤak,"bad, ugly"
734059,中論,過,30,之謂也夫聞過而不改謂之,無退功詩曰相彼脊令載飛載鳴我日斯邁而月斯征遷善不懈之謂也夫聞過而不改謂之䘮心思過而不,1,kʷˤaj,to pass
735800,中論,觀,23,之謂也由此觀之仁者壽豈,千歳眉壽無有害人豈有萬壽千歲者皆令德之謂也由此觀之仁者壽豈不信哉傳曰所好有甚於生者所惡,0,C-qʷˤar,watch (v.)
733388,中論,行,24,不愠怒而德行行於閨門不,妻妾不可得而黷也雖朋友不可得而狎也是以不愠怒而德行行於閨門不諫諭而風聲化乎鄕黨傳稱大人正巳而物自正者蓋此之謂,2,gˤraŋs,conduct
734668,中論,背,26,間耳且管仲背君事讐奢而,以觀色謀以行權智以辨物豈可無一哉謂夫多少之間耳且管仲背君事讐奢而失禮使桓公有九合諸侯一匡天下之功,0,m-pˤəks,
736713,中論,取,20,帝王之敎謂取天下一由攻,必克將帥之事也羽以小人之器闇於帝王之敎謂取天下一由攻戰矜勇有力詐虐無親貪嗇專利功勤不賞有一范増旣不能用又從而疑之至令,1,tsʰoʔ,take
736746,中論,王,23,府未嘗無先王之書也然而,怪哉凢亡國之君其朝未嘗無致治之臣也其府未嘗無先王之書也然而不免乎,0,ɢʷaŋ,king
733384,中論,行,26,身無戯謔之行行必有檢故,矣泳之㳺之言必濟也君子口無戯謔之言言必有防身無戯謔之行行必有檢故雖妻妾不可得而黷也雖朋友不可得而,2,gˤraŋs,conduct
736537,中論,敗,26,而好違人其敗一也孔子曰,治殷紂違三仁而亂故不知所從而好從人不知所違而好違人其敗一也孔子曰知不可由斯知所由矣,0,N-pˤrats,suffer defeat
735842,中論,長,17,悖人臣之禮長畔弑之原又,而適讐國以雪其恥與父報讐悖人臣之禮長畔弑之原又不深見二主之異量至於懸首不化斯乃凶之大者何慶之爲幹以爲二論皆非其理也故作辨夭壽云,0,Cə-N-traŋ,long (adj.)
733871,中論,聽,22,見邦國之表聽不過閾𣙗之,務鑒於人以觀得失故視不過垣墻之裏而見邦國之表聽不過閾𣙗之内而聞千里之外因人也人之耳目盡爲我用則我之聦明無敵於天,0,lˤeŋ,
734017,中論,道,25,不降席而追道治乎八尺之,而稱素王盡此類也故善釣者不易淵而殉魚君子不降席而追道治乎八尺之中而德化光矣古之人謌曰相彼,1,kə-lˤuʔ,Way
733685,中論,衣,32,登帝位解布衣被文采者也,信德配乎天地功侔乎四時名參乎日月此虞舜大禹之所以由匹夫登帝位解布衣被文采者也故,0,ʔrəj,clothes
737021,中論,於,17,差夫賞罰之於萬民猶轡策,其節故書曰罔非在中察辭於差夫賞罰之於萬民猶轡策之於駟馬也轡策不調非徒遲速之分也至,1,ʔa,at (locative preposition)
734410,中論,廉,24,貴也故恭恪廉讓藝之情也,是則是效我有㫖酒嘉賓式宴以敖此禮樂之所貴也故恭恪廉讓藝之情也中和平直藝,0,k-rem,frugal
734570,中論,空,27,之可及非徒空行也智也伏,之爲用也乃能殷民阜利使萬物無不盡其極者也聖人之可及非徒空行也智也伏羲作八卦文王增其辭斯皆窮神知化豈徒特行善而巳乎易離象,0,kʰˤoŋ,"hollow, empty; hole"
734222,中論,無,28,功無敗而言無弃也荀卿曰,善治水而君子善導人導人必因其性治水必因其勢是以功無敗而言無弃也荀卿曰禮恭然後可與言道之方辭順然,0,ma,not have; volitional prefix
821987,九章算術,行,27,四十六駑馬行一千四百六,而相逢良馬行四千五百三十四里一百九十一分里之四十六駑馬行一千四百六十五,0,gˤaŋ,"rank, row"
819880,九章算術,分,22,分步之一五分步之一六分,法得從步今有田廣一步半三分步之一四分步之一五分步之一六分步之一七分步之一八分步之一九分步之一十分步之一求田一畝問從幾,0,pən,divide
822788,九章算術,與,30,此四雀一燕與一雀五燕其,以右行取其數左頭位減盡中法下實卽每枚當重宜可知也按此四雀一燕與一雀五燕其重等是三雀四燕重相當雀率,0,m-qraʔ,give; for; and
823288,九章算術,廣,31,適出問戸高廣袤各幾何荅,今有戸不知高廣竿不知長短橫之不出四尺從之不出二尺邪之適出問戸高廣袤各幾何荅曰,0,kʷˤaŋʔ,wide
822769,九章算術,左,17,令右行徧乘左行而取其法,數左行頭位其數是一可省乘令右行徧乘左行而取其法實於左左行數多以右行取其數左頭位減盡中法下實卽每枚當重宜可知也按此四雀一燕與一雀五,0,tsˤaj,
821642,九章算術,減,17,所出率乘之減盈增不足卽,減多餘爲法實如法得一人以所出率乘之減盈增不足卽物價今有共買金人出四百盈三千四百人出三百盈一百問人數金價各幾何荅曰三十三,1,kˤrəmʔ,reduce
821839,九章算術,幾,27,大小器各容幾何荅曰大器,二今有大器五小器一容三斛大器一小器五容二斛問大小器各容幾何荅曰大器容二十四分斛之十三小器二十,1,kəjʔ,few; how many
823950,九章算術,乘,20,可知也以股乘列衰爲實則,各自爲實實如法而一得句面之小股可知也以股乘列衰爲實則得股面之小句可知言雖異矣及其所以成法之實則同歸矣則圓,0,Cə-ləŋ,ride
820698,九章算術,乘,26,斛用車一萬乘欲以道里遠,百戸行道二十日各到輸所凡四縣賦當輸二十五萬斛用車一萬乘欲以道里遠近戸數多少衰出之問粟車各幾,1,Cə-ləŋs,"vehicle, team of four horses"
822524,九章算術,令,29,術入之今有令一人吏五人,二十三分石之十術曰如方程置重過於石之物爲負以正負術入之今有令一人吏五人從者十人食雞十令十人吏一,2,riŋs,issue a command
821821,九章算術,行,29,斗直錢五十行酒一斗直錢,日分子之中所穿故各増二日定穿卽合所問也今有醇酒一斗直錢五十行酒一斗直,2,gˤraŋs,conduct
822744,九章算術,無,22,正無實負負無實正方爲類,以右行直除之是終於下實虚缺矣故注曰正無實負負無實正方爲類也方將以别實加不足之數,0,ma,not have; volitional prefix
821830,九章算術,假,25,七升半術曰假令醇酒五升,斗問醇行酒各得幾何荅曰醇酒二升半行酒一斗七升半術曰假令醇酒五升行酒一斗五升有餘一十令之醇酒二升行酒一斗八升不足二今有大器五,0,Cə-kˤraʔ,
820219,九章算術,方,18,故曰丸居立方三分之一也,之斷上幂矣不問高卑勢皆然也故曰丸居立方三分之一也,0,C-paŋ,square
818807,九章算術,廣,20,可半正從若廣以乘并畝法,術曰并兩邪而半之以乘正從若廣又可半正從若廣以乘并畝法而一今有箕田舌廣二十步踵廣五步正,0,kʷˤaŋʔ,wide
820136,九章算術,開,17,除若母不可開者又以母再,實定實乃開之訖開其母以報除若母不可開者又以母再乘定實乃開之訖令如母而一今有積四千五百尺問爲立圓徑幾何荅曰二十尺又有積,0,Nə-kʰˤəj,to open (v.i.)
819467,九章算術,斗,19,簪褭出四分斗之三上造出,夫出一斗四分斗之一不更出一斗簪褭出四分斗之三上造出四分斗之二公士出四分斗之一術曰各置所禀粟斛斗數爵次均之,0,tˤoʔ,bushel; ladle
822855,九章算術,能,21,庖丁之理故能和神愛刃速,其刃如新夫數猶刃也易簡用之則動中庖丁之理故能和神愛刃速而寡尤凡九章爲,2,nˤəʔ,able; ability
818901,九章算術,數,18,法除之卽畝數也九章算術,積步餘積步之分等數約之以畝法除之卽畝數也九章算術卷一訂訛補圖休寧戴震東原臣淳風等謹按,-1,,
819854,九章算術,分,24,分步之一七分步之一八分,一步半三分步之一四分步之一五分步之一六分步之一七分步之一八分步之一九分步之一求田一畝問從幾何荅曰八十四步,0,pən,divide
818521,九章算術,乘,26,廣從里數相乘得積里以三,從三里問爲田幾何荅曰二十二頃五十畝里田術曰廣從里數相乘得積里以三百七十五乘之卽畝數,-1,,
820036,九章算術,分,26,實有分者通分內子爲定實,除折下如前若開之不盡者爲不可開當以面命之若實有分者通分內子爲定實乃開之訖開其母報除若母不可開者又以母再乘定實乃,-1,,
818742,九章算術,從,31,三分步之一從五步五分步,四乘分術曰母相乘爲法子相乘爲實實如法而一今有田廣三步三分步之一從五步五分步之二問爲田幾何荅曰十八步又有田廣七,-1,,
822974,九章算術,下,30,行減第三行下位次以第三,行及第二行第四行下位又以減右行下位不足減乃止次以左行減第三行下位次以第,-1,,
821467,九章算術,率,18,賤之率此二率者各自相與,之率旣有戸算之率亦有遠近貴賤之率此二率者各自相與通通則甲二十乙十二丙七丁十三戊五一斛之費謂之錢率錢率約戸率者則錢爲母戸,-1,,
821764,九章算術,足,28,假令五日不足五寸令之六,七寸十七分寸之一瓠長五尺二寸十七分寸之十六術曰假令五日不足五寸令之六日有餘一尺二寸今有蒲生一日長三尺莞,-1,,
822160,九章算術,分,17,一秉四斗四分斗之一下禾,禾一秉九斗四分斗之一中禾一秉四斗四分斗之一下禾一秉二斗四分斗之三方程術曰置上禾三秉中禾二秉下,-1,,
821418,九章算術,取,32,一中關五而取一内關七而,爲法日數相乘爲實實如法得一日今有人持米出三關外關三而取一中關五而取一内關七而取一餘米五斗問本持米幾何荅曰十,-1,,
821779,九章算術,令,16,足一尺五寸令之三日有餘,分寸之六術曰假令二日不足一尺五寸令之三日有餘一尺七寸半今有垣厚五尺兩鼠對穿大鼠日一尺小鼠亦日一尺大鼠日,-1,,
819925,九章算術,三,29,萬九千六百三十一術曰下,畝問從幾何荅曰七十九步八萬三千七百一十一分步之三萬九千六百三十一術曰下有一十一分以一爲二萬七千七百二十,-1,,
824147,九章算術,種,18,假田發耕耰種盈不足朒璡,箠四間錐行鳧牝瓦牡瓦矯矢筈假田發耕耰種盈不足朒璡適足桶瓠蔓莞醇酒行酒和漆易油惡田駑馬之,-1,,
822825,九章算術,後,31,各一逮井其後法得七百二,寸丁綆長一丈二尺九寸戊綆長七尺六寸此率初如方程爲之名各一逮井其後法得七百二十一實七十六此麻麥與均輸少廣章之重衰積分皆爲大事其拙於,-1,,
823361,九章算術,率,23,步以乙東行率乘之各自爲,東行率置南行十步以甲邪行率乘之副置十步以乙東行率乘之各自爲實實如南行率而一各得行數今有句五步股十二步問句中容方幾,-1,,
820886,九章算術,丁,24,一百四十里丁縣一萬七千,百二十八算粟一斛十六傭價一日五錢到輸所一百四十里丁縣一萬七千七百算粟一斛十四傭價一日五錢到輸所一百七十五里戊縣二萬三千四十算,-1,,
821525,九章算術,合,29,戸數爲衰也合分注曰母除,戸數者其意不異矣然則可置一斛之費而反衰之約戸以乘戸數爲衰也合分注曰母除爲率率乘子爲齊反衰法曰先,-1,,
822613,九章算術,方,26,左禾列如右方以右行上禾,上禾三秉中禾二秉下禾一秉實三十九斗於右方中左禾列如右方以右行上禾徧乘中行,-1,,
823903,九章算術,倒,24,正之會令顛倒相補各以類,黄幂各二則倍之爲各四可用畫於小𥿄分裁邪正之會令顛倒相補各以類合成修幂圓徑爲廣並句股弦爲袤故并句股弦以爲法又以圖之大體言,-1,,
822711,九章算術,正,16,命而已若以正負相減如數,耳故其多少無限令上下相命而已若以正負相減如數有舊增法者每行可均之不但數物左右之也此,-1,,
822740,九章算術,下,18,除之是終於下實虚缺矣故,先令牛二徧乘左行而以右行直除之是終於下實虚缺矣故注曰正無實負負無實正方,-1,,
819799,九章算術,并,17,之一爲二十并之得二百九,三十五分之一爲二十四六分之一爲二十并之得二百九十四以爲法置田二百四十歩亦以一爲一百,-1,,
819427,九章算術,鄉,26,百二十七西鄉遣一百一十,三十五人一萬二千一百七十五分人之一萬一千六百二十七西鄉遣一百一十二人一萬二千一百七十五分人之四千四南鄉遣一百二十九人一萬二,-1,,
823915,九章算術,廣,19,令立規於橫廣句股又邪三,爲法又以圖之大體言之股中靑必令立規於橫廣句股又邪三徑均而復連規從橫量度句股必合而成小方矣又畫中弦以觀其會則句股之中成小,-1,,
821361,九章算術,并,31,三人少半人并之得六人以,曰矯矢五十用徒一人羽矢五十用徒一人太半人筈矢五十用徒三人少半人并之得六人以爲法以五十矢爲,-1,,
819569,九章算術,分,32,丙一升一十分升之八術日,而分之問各幾何荅曰甲二升一十分升之七乙四升一十分升之五丙一升一十分升之八術日以粟率五十糲米率三十糲飯率七十五爲衰而返衰,-1,,
823349,九章算術,率,24,乘餘爲南行率以三乘七爲,自乘并而半之以爲甲邪行率邪行率減於七自乘餘爲南行率以三乘七爲乙東行率,-1,,
822429,九章算術,中,26,借中馬一匹中馬借下馬一,中馬二匹下馬三匹皆載四十石至阪皆不能上武馬借中馬一匹中馬借下馬一匹下馬,-1,,
821876,九章算術,足,28,出漆九升不足六升令之出,之一得油一斗五升和漆一斗八升四分升之三術曰假令出漆九升不足六升令之出漆一斗二升有餘二升今有玉方一寸重七兩石方一寸重六兩今有,-1,,
819510,九章算術,衰,23,法得一斛返衰術曰列置衰,衰副并爲法以五斛乘未并者各自爲實實如法得一斛返衰術曰列置衰而令相乘動者爲不動者衰今有大夫不更簪褭上造公士凡五人共出百錢欲,-1,,
820962,九章算術,斗,29,斛今有粟七斗三人分春之,數爲衰副并爲法以所賦粟乘未并者各自爲實實如法得一斛今有粟七斗三人,-1,,
45460,儀禮,中,22,上九馬隨之中庭西上奠幣,皆束帛加璧庭實唯國所有奉束帛匹馬卓上九馬隨之中庭西上奠幣再拜稽首擯者曰予一人將受之侯氏升致命王撫玉侯氏降自西階東面授宰幣西階前再,0,truŋ,center
43565,儀禮,說,29,面大夫進坐說矢束退反位,面下射西面拾取矢如三耦若士與大夫爲耦士東面大夫西面大夫進坐說矢束退反位耦揖進坐兼取乗矢興順羽且左還毋周反面揖大夫進坐亦兼取乗矢如,-1,,
47622,儀禮,右,23,朝服左執領右執要招而左,弟哭設牀第當牖衽下筦上簟設枕遷尸復者朝服左執領右執要招而左楔貌如軛上兩末綴足用燕几校在南御者坐持之即牀而奠當腢用吉噐若醴若,-1,,
38844,儀禮,見,25,家也某將走見賔對曰某不,命請終賜見主人對曰某不敢爲儀固請吾子之就家也某將走見賔對曰某不敢爲儀固以請主人對曰某也固辭不得命,-1,,
40657,儀禮,適,30,共而俟司射適堂西命弟子,以吿曰左右鈞降復位坐兼斂筭實八筭于中委其餘于中西興共而俟司射適堂西命弟子設豐弟子奉豐升,-1,,
46387,儀禮,舉,17,爲之三月不舉祭因是以服,何以服緦也有死於宫中者則爲之三月不舉祭因是以服緦也士爲庶母傳曰何以緦也以名服也大夫以上爲庶母無服貴臣貴妾傳曰何以緦也以其貴也乳,-1,,
41547,儀禮,坐,30,荅再拜主人坐祭遂卒爵再,篚更爵洗升酌膳酒以降酢于阼階下北面坐奠爵再拜稽首公荅再拜主人坐祭遂卒爵再拜稽首公荅再拜主人奠爵于篚主人盥洗升,-1,,
45963,儀禮,女,28,唯子不報也女子子適人者,婦人之爲大夫妻者也無主者命婦之無祭主者也何以言唯子不報也女子子適人者爲其父母期故言不報也言其餘皆報也何以期也,-1,,
42413,儀禮,所,20,公坐取大夫所媵觶興以酬,拜稽首送觶公荅拜媵爵者皆退反位公坐取大夫所媵觶興以酬賔賔降西階下再拜稽首小臣正辭賔升成,0,s-qʰraʔ,place (n.); that which
45068,儀禮,降,29,鄉至再拜賓降也公再拜賓,上内官之士在宰東北西面南上介門西北面西上公當楣北鄉至再拜賓降也公再拜賓西階東北面荅拜擯,-1,,
49465,儀禮,牢,22,上佐食受尸牢肺正脊加于,西面于主人之南主人不言拜侑尸又三飯上佐食受尸牢肺正脊加于肵主人降洗,-1,,
38057,儀禮,揖,19,廟門揖入三揖至于階三讓,人揖賛者與賔揖先入毎曲揖至于廟門揖入三揖至于階三讓主人升立于序端西面賔西序東面賛者盥于洗,-1,,
45767,儀禮,從,20,父卒繼母嫁從爲之服報傳,傳曰與尊者爲一體不敢服其私親也父卒繼母嫁從爲之服報傳曰何以期也貴終也不杖,-1,,
44652,儀禮,夫,17,幣亦如之大夫於賔壹饗壹,以侑幣如致饔無儐致饗以酬幣亦如之大夫於賔壹饗壹食上介若食若饗若不親饗則公作大夫致之以酬幣致食以,-1,,
49621,儀禮,上,19,主婦受酌獻上佐食于戶内,拜于主人之北卒爵不興坐授主婦主婦受酌獻上佐食于戶内佐食北面拜坐受爵主婦西面荅拜祭酒卒爵坐授主婦主婦獻下佐食亦如之主婦,-1,,
47928,儀禮,取,31,稷祭于苴三取膚祭祭如初,觶于鉶南復位主人再拜稽首祝饗命佐食祭佐食許諾鉤袒取黍稷祭于苴三取膚祭祭如初祝取奠觶祭亦如之不盡益反奠之主人再拜稽首祝祝卒主人拜如,-1,,
43055,儀禮,去,18,射猶挾一个去扑與司馬交,侯許諾如初司馬降釋弓反位司射猶挾一个去扑與司馬交于階前適阼階下北面請釋,-1,,
47039,儀禮,先,29,上祝後闔戶先由楹西降自,魚次腊特于俎北醴酒在籩南巾如初旣錯者出立于戸西西上祝後闔戶先由楹西降自西階婦人踊奠者由重南東丈夫踊賔出,-1,,
39293,儀禮,坐,21,于薦西賔辭坐受以興舉觶,降洗升實觶立于西階上賔拜進坐奠觶于薦西賔辭坐受以興舉觶者西階上拜送賔坐奠觶于其所舉觶者降設席,-1,,
48909,儀禮,舉,24,取舉祭食祭舉乃食祭鉶食,有以也兩𧃊奠舉于俎許諾皆荅拜若是者三皆取舉祭食祭舉乃食祭鉶食舉卒食主人降洗爵宰賛一爵主人升,-1,,
42355,儀禮,奠,25,席坐祭酒遂奠于薦東主人,膳賔西階上拜受爵于筵前反位主人拜送爵賔升席坐祭酒遂奠于薦東主人降復位賔降筵西東南面立小臣自阼階下請媵爵,-1,,
49850,儀禮,左,25,侑俎羊左肩左肫正脊一脅,脊一短脅一正脅一代脅一膚五嚌肺一載于一俎侑俎羊左肩左肫正脊一脅一,-1,,
39274,儀禮,奠,16,主人以爵降奠于篚揖讓升,則薦諸其席衆賔辯有脯醢主人以爵降奠于篚揖讓升賔厭介升介厭衆賔升衆賔序升即席一人洗升舉觶于賔實觶西階上坐奠觶遂拜執觶興賔席末荅拜,-1,,
47834,儀禮,上,17,腊爨亞之北上饎爨在東壁,食側亨于廟門外之右東面魚腊爨亞之北上饎爨在東壁西面設洗于西階西南水在洗西,-1,,
50488,儀禮,祭,21,糗祭于豆祭祭酒啐酒次賔,坐設棗于菹西糗在棗南祝左執爵取棗糗祭于豆祭祭酒啐酒次賔羞燔如尸禮卒爵主人受爵酌獻二佐食,-1,,
45899,儀禮,居,31,三月必甞同居然後爲異居,妻不敢與焉若是則繼父之道也同居則服齊衰期異居則服齊衰三月必甞同居然後爲異居未甞同居則不爲異居爲夫之,-1,,
45964,儀禮,適,25,報也女子子適人者爲其父,妻者也無主者命婦之無祭主者也何以言唯子不報也女子子適人者爲其父母期故言不報也言其餘皆報也何以期也父之所不降子亦不敢降,-1,,
46567,儀禮,三,16,二寸衰三升三升有半其冠,袂屬幅衣二尺有二寸袪尺二寸衰三升三升有半其冠六升以其冠爲受受冠七升齊衰四升其冠七升以其冠爲受受冠八升繐衰四升有半其冠八升大功八,-1,,
40035,儀禮,告,28,階上東北靣告于主人曰請,矢旣具有司請射賔對曰某不能爲二三子許諾司射適阼階上東北靣告于主人曰請射于賔賔許司射,-1,,
49054,儀禮,離,32,皆殽脀膚一離肺一公有司,及宗人折其餘如佐食俎衆賔及衆兄弟内賔宗婦若有公有司私臣皆殽脀膚一離肺一公有司門西北面東上獻次衆賔私臣門東北面西上獻次兄弟升,-1,,
38653,儀禮,教,29,祖廟巳毀則教于宗室問名,必殽全女子許嫁笄而醴之稱字祖廟未毀教于公宫三月若祖廟巳毀則教于宗室問名主人受鴈還西靣對賔受命乃降祭醴,-1,,
48721,儀禮,卒,30,坐挩手祭酒卒爵拜主人荅,脯醢設折俎賔左執爵祭豆奠爵興取肺坐絶祭嚌之興加于俎坐挩手祭酒卒爵拜,-1,,
49499,儀禮,食,19,上佐食上佐食以綏祭主人,四敦黍稷下佐食取牢一切肺以授上佐食上佐食以綏祭主人佐執爵右受佐食坐祭之又祭酒不興遂啐酒祝與二佐食皆出盥于,-1,,
43756,儀禮,長,31,于西階上士長升拜受觶主,醉賔及諸公卿大夫皆興對曰諾敢不醉皆反位坐主人洗酌獻士于西階上士長升拜受觶,-1,,
48169,儀禮,降,22,人又鄕尸還降階又鄕尸降,說屨尸謖祝前鄕尸還出戸又鄕尸還過主人又鄕尸還降階又鄕尸降階還及門如出戸尸出祝反入門,-1,,
40826,儀禮,挾,16,卒北靣搢三挾一个揖退賔,前揖及楅揖拾取矢如三耦卒北靣搢三挾一个揖退賔堂西主人堂東皆釋弓矢襲及階揖升堂揖就席大夫袒,-1,,
42561,儀禮,正,23,徒相入小樂正從之升自西,工相者皆左何瑟後首内弦挎越右手相後者徒相入小樂正從之升自西階北面東上坐授瑟乃降小樂正立于西階東乃歌鹿鳴三終主,-1,,
46178,儀禮,屬,22,母道也其夫屬乎子道者妻,之昆弟何以無服也其夫屬乎父道者妻皆母道也其夫屬乎子道者妻皆婦道也謂弟之妻婦,-1,,
38097,儀禮,冠,29,復位賛者卒冠者興賔揖之,等東面授賔賔右手執項左手執前進容乃祝坐如初乃冠興復位賛者卒冠者興賔揖之適房服玄端爵韠出房南面賔揖之,-1,,
44621,儀禮,上,24,設于戶東西上二以並東陳,禮不拜夕夫人使下大夫韋弁歸禮堂上籩豆六設于戶東西上二以並東陳壷設于東序北上二以,-1,,
45099,儀禮,豆,31,夫自東房薦豆六設于醬東,南面七載者西面魚腊飪載體進奏魚七縮爼寢右膓胃七同爼宰夫自東房薦豆六設于醬東西上韭菹以東醓醢昌本昌本南麋臡以,-1,,
41695,儀禮,右,24,席坐左執爵右祭脯醢遂祭,主人拜送觚卿辭重席司宫徹之乃薦脯醢卿升席坐左執爵右祭脯醢遂祭酒不啐酒降席西階上北面坐卒爵興坐奠爵拜執,-1,,
39959,儀禮,祭,20,脯醢使人相祭工飮不拜旣,瑟一人拜受爵主人阼階上拜送爵薦脯醢使人相祭工飮不拜旣爵授主人爵衆工不拜受爵祭飮辯有脯醢不祭不洗遂獻笙于西階上笙一,-1,,
44771,儀禮,獻,17,獻一人舉爵獻從者行酬乃,脯醢觴酒陳席于阼薦脯醢三獻一人舉爵獻從者行酬乃出上介至亦如之聘遭喪入竟則遂也不郊勞不筵几不禮賔主人畢歸禮賔唯饔餼之受不賄不禮玉,-1,,
46095,儀禮,成,18,其文縟䘮未成人者其文不,未成人也何以無受也䘮成人者其文縟䘮未成人者其文不縟故殤之絰不樛垂蓋未成人也年十九至十六爲長殤,-1,,
49607,儀禮,祭,31,祭祭之其綏祭如主人之禮,酌授尸主婦拜受爵尸荅拜上佐食綏祭主婦西面于主人之北受祭祭之其綏祭如主人之禮不嘏卒爵拜尸荅拜主婦以爵出,-1,,
38781,儀禮,聽,28,命之曰敬恭聽宗爾父母之,之敬之夙夜無違宫事庶母及門內施鞶申之以父母之命命之曰敬恭聽宗爾父母之言夙夜無愆視諸衿鞶壻授綏姆辭曰未敎不,-1,,
